bad_prompts,improved_prompts
Write about a recent popular movie.,"Write a detailed review of a recent blockbuster movie focusing on its narrative, performances, and visual effects."
"What's the ""Arab Spring"" about?",Discuss the social and political implications of the 'Arab Spring' movement.
Write a story about a farmer with magic powers.,Write a riveting fantasy tale about a humble farmer discovering magical abilities.
How do polar animals live?,Describe the life and adaptation of polar animals to a kindergarten class.
Write about someone who's doing good things for their community.,Write a detailed profile on a social entrepreneur who is making a significant impact on their community.
How does the media affect people and the government?,Discuss the impact of mass media on public opinion and policy making.
Write a murder mystery on a cruise ship.,Write an engaging murder mystery set on a luxury cruise liner.
"What's ""1984"" say about dystopia?","Analyze the representation of dystopia in George Orwell's ""1984""."
Write about your first time traveling alone.,Write a compelling personal narrative about your first solo travel experience.
How does air pollution affect cities and what can we do?,Discuss the effects and potential mitigation strategies of air pollution in urban areas.
Write a story about a bad heist.,Write a suspense-filled short story about a heist gone wrong.
What's the Big Bang theory?,Explain the Big Bang theory to someone with no background in science.
Argue for more parks in cities.,Write a persuasive essay advocating for more public spaces in urban areas.
What's the history of jazz and why is it important?,Discuss the historical context and cultural impact of jazz music.
Write a future story where everyone uses green energy.,Write a science fiction story about a futuristic society entirely dependent on renewable energy.
"What's ""All Quiet on the Western Front"" say about war?","Analyze the portrayal of war in Erich Maria Remarque's ""All Quiet on the Western Front."""
Write about riding a roller coaster.,Write a detailed account of a thrilling roller coaster ride.
What's right and wrong about gene editing?,Discuss the ethical issues surrounding gene editing and CRISPR technology.
Write a scary story in an old big house.,Write a horror story set in a haunted colonial mansion.
"What's the green light in ""The Great Gatsby"" about?","Analyze the symbolism and thematic relevance of the green light in F. Scott Fitzgerald's ""The Great Gatsby."""
Write about a fitness app you like.,"Write a comprehensive review of a popular fitness app detailing its features, usability, and effectiveness."
How does IoT affect home security?,Discuss the implications of the Internet of Things (IoT) for home security.
Write a story about the Roman Empire's fall.,Write a gripping historical fiction story set during the fall of the Roman Empire.
What's a vaccine and why is it important?,Explain the principle and importance of vaccination to a middle school student.
"Write about ""Animal Farm's"" politics.","Write an analytical essay on the socio-political commentary in George Orwell's ""Animal Farm."""
What happens when we overfish and how can we fix it?,Discuss the impact of overfishing on marine biodiversity and sustainable solutions.
Write a story about stealing art from the Louvre.,Write a detective story about an art heist at the Louvre.
"What does ""Macbeth"" say about ambition and power?","Analyze the portrayal of ambition and power in Shakespeare's ""Macbeth."""
Write a story about a kid and a dog.,Write a heartwarming story about a child's friendship with a stray dog.
What caused the Renaissance and why is it important?,Discuss the factors leading to the Renaissance and its impact on art and culture.
Write a story about the world after an apocalypse.,Write a thrilling science fiction story set in a post-apocalyptic world.
What is gravity?,Explain the concept of gravity to a five-year-old.
Write about why net neutrality is good.,Write a passionate op-ed advocating for net neutrality.
How did Greek philosophy change Western thinking?,Discuss the impact of Greek philosophy on Western thought.
Write a detective story in old New York.,Write a noir short story set in a 1940s New York City.
"What does ""Crime and Punishment"" say about justice and morality?","Analyze the themes of justice and morality in Fyodor Dostoevsky's ""Crime and Punishment."""
Write about going to a big sports game.,Write a detailed account of your experience at a major sporting event.
Why is solar power good?,Discuss the potential of solar power as a sustainable energy source.
Write a scary story in an old factory.,Write a ghost story set in an abandoned Victorian-era factory.
"What are the symbols in ""The Raven""?","Analyze the use of symbolism in Edgar Allan Poe's ""The Raven."""
Write about a trip through the Amazon.,Write a gripping account of a journey through the Amazon rainforest.
What will self-driving cars do to traffic?,Discuss the potential effects of the introduction of autonomous vehicles on urban traffic.
Write a story about the French Revolution.,Write a fascinating historical fiction story set during the French Revolution.
What's climate change about?,Explain the causes and effects of climate change to a middle school student.
Write about a modern art exhibition.,Write a thoughtful critique of a modern art exhibition you recently attended.
What are the problems with deepfakes?,Discuss the implications of deepfake technology on privacy and security.
Write a story about a bad treasure hunt.,Write a suspenseful short story about a treasure hunt gone wrong.
"What does ""Oedipus Rex"" say about fate and free will?","Analyze the themes of fate and free will in Sophocles' ""Oedipus Rex."""
Write as if you're on the Oregon Trail.,Write a detailed diary entry from the perspective of a pioneer on the Oregon Trail.
How did blues music come about and why is it important?,Discuss the roots and influences of blues music in American culture.
Write a story about people living underwater.,Write a science fiction story about a civilization living under the sea.
What's evolution?,Explain the concept of evolution to a six-year-old.
Argue for working only four days a week.,Write a persuasive argument for the adoption of a four-day work week.
What did the Harlem Renaissance do for culture?,Discuss the legacy and cultural impact of the Harlem Renaissance.
Write a mystery story in a small mountain town.,Write a mystery short story set in a secluded mountain village.
"What does ""Lord of the Flies"" say about people?","Analyze the exploration of human nature in ""Lord of the Flies"" by William Golding."
Write about a terrible hotel stay.,Write a review of a disastrous hotel stay detailing the issues encountered.
What's wrong with trash in cities and how can we fix it?,Discuss the challenges and potential solutions for waste management in urban areas.
Write a story about a hero saving a cursed kingdom.,Write a fantasy story about a cursed kingdom saved by an unlikely hero.
"What's ""Frankenstein"" say about being alone?","Analyze the theme of isolation in Mary Shelley's ""Frankenstein."""
Write about an e-learning platform you like.,"Write a comprehensive review of a popular online learning platform, detailing its features, strengths, and areas of improvement."
Why did the French Revolution happen?,"Discuss the social, economic, and political factors that led to the French Revolution."
Write a mystery story in a small town.,Write a compelling mystery story set in a quiet New England town.
What's the water cycle?,Explain the water cycle to a third-grade student.
"Write about fate in ""Tess of the d'Urbervilles"".","Write a thought-provoking analysis of the role of fate in Thomas Hardy's ""Tess of the d'Urbervilles."""
How did the printing press affect the Reformation?,Discuss the role and impact of the printing press on the Reformation.
Write a story about finding something weird on Mars.,Write a suspenseful short story about an expedition to Mars that uncovers an alien artifact.
"What's funny in ""Huckleberry Finn"" and why?","Analyze the use of humor as a social critique in Mark Twain's ""The Adventures of Huckleberry Finn."""
Write about someone beating the odds to do something big.,Write an inspiring account of an individual overcoming adversity to achieve a significant goal.
What's the history of hip-hop and why is it important?,Discuss the origins and influence of hip-hop music on contemporary culture.
Write a story after an apocalypse with no tech.,Write a post-apocalyptic short story set in a world where technology no longer works.
What's democracy?,Explain the basic principles of democracy to a ten-year-old.
Argue for saving old buildings.,Write a persuasive piece advocating for the preservation of historical buildings.
How did the Industrial Revolution change things?,Discuss the impact of the Industrial Revolution on society and the economy.
Write a love story in old France.,Write a romantic short story set in 18th-century France.
"What does ""Death of a Salesman"" say about the American Dream?","Analyze the depiction of the American Dream in Arthur Miller's ""Death of a Salesman."""
Write about seeing something cool while scuba diving.,Write a thrilling account of a close encounter with a marine creature while scuba diving.
What's right and wrong about drones in war?,Discuss the ethical considerations of using drones in warfare.
Write a scary story in an old castle.,Write a haunting ghost story set in a centuries-old castle.
"What's ""Heart of Darkness"" say about light and dark?","Analyze the motifs of light and darkness in Joseph Conrad's ""Heart of Darkness."""
Write about eating something good in another country.,Write a detailed account of a memorable culinary experience in a foreign country.
What does social media do to how we talk and relate?,Discuss the impact of social media on interpersonal communication and relationships.
Write a story about magic creatures in a forest.,Write an immersive fantasy story about a magical forest and its secretive inhabitants.
What's photosynthesis?,Explain the concept of photosynthesis to a fourth-grade student.
"Write about society in ""Brave New World"".","Write a critical essay on the portrayal of the society in Aldous Huxley's ""Brave New World."""
Why is the Suez Canal important?,Discuss the geopolitical significance and implications of the Suez Canal.
Write a story about someone stealing from rich houses in London.,Write a crime thriller about a cat burglar targeting wealthy mansions in London.
"What does ""Wuthering Heights"" say about love and desire?","Analyze the exploration of love and desire in Emily Brontë's ""Wuthering Heights."""
Write a story about an old person and a young person being friends.,Write a moving story about an elderly person's bond with a young neighbor.
What did the Italian Renaissance do for art and culture?,Discuss the cultural and artistic influences of the Italian Renaissance.
Write a story about messing up time travel.,Write a science fiction story about a time-travel mishap.
What's a balanced diet?,Explain the concept of a balanced diet to a second-grade student.
Argue for more space stuff.,Write a passionate argument for increasing space exploration and research.
What did the Beat Generation do for literature?,Discuss the significance and cultural impact of the Beat Generation in literature.
Write a mystery story in a big fancy house in Venice.,Write a mystery short story set in a luxurious Venetian palazzo.
"What does ""The Great Gatsby"" say about America?","Analyze the representation of the American society in F. Scott Fitzgerald's ""The Great Gatsby."""
Write about going to a music festival.,Write a detailed account of your experience at a popular music festival.
What's good and bad about wind power?,Discuss the benefits and challenges of wind energy as a renewable resource.
Write a story about a vampire in an office.,Write a vampire story set in the modern corporate world.
"What's ""A Modest Proposal"" say with irony?","Analyze the use of irony in Jonathan Swift's satirical essay ""A Modest Proposal."""
Write about a hiking trip in the Rockies.,Write a vivid account of a hiking adventure in the Rocky Mountains.
What will AI do to jobs?,Discuss the potential impacts of artificial intelligence on the future job market.
Write a creepy story in a lighthouse.,Write an atmospheric gothic story set in a desolate lighthouse.
What's a butterfly's lifecycle?,Explain the lifecycle of a butterfly to a kindergartener.
Write about a dystopian book you read recently.,"Write an insightful critique of a recent dystopian novel detailing its themes, characters, and narrative."
What happens when we run out of oil?,Discuss the geopolitical implications of the decline in global oil reserves.
Write a story about finding an old tribe in the Amazon.,Write a suspenseful short story about a lone explorer's encounter with an ancient civilization in the Amazon.
"What does ""The Fountainhead"" say about being an individual?","Analyze the concept of identity and individualism in Ayn Rand's ""The Fountainhead."""
Write a story about a teenager dealing with bullies.,Write a heartfelt story about a teenager's struggle and triumph over bullying.
What's the history of reggae music and why is it important?,Discuss the origins and development of reggae music and its cultural impact.
Write a story about meeting aliens for the first time.,Write a thrilling science fiction story about first contact with an alien civilization.
What started and ended World War I?,Explain the causes and consequences of the First World War to a high school student.
Argue for animals in science.,Write a persuasive essay arguing for the rights of animals in scientific research.
What does existentialism do for literature?,Discuss the philosophical concepts and impact of existentialism in literature.
Write a detective story in old Chicago.,Write a detective short story set in a bustling 1920s Chicago.
"What does ""The Yellow Wallpaper"" say about going mad?","Analyze the exploration of madness in Charlotte Perkins Gilman's ""The Yellow Wallpaper."""
Write about seeing a solar eclipse.,Write a vivid account of your experience watching a solar eclipse.
What's wrong with cutting down trees and how can we fix it?,Discuss the environmental implications and potential solutions of deforestation.
Write a scary story in an old hospital.,Write a chilling ghost story set in an abandoned hospital.
"What's ""Crime and Punishment"" say about right and wrong?","Analyze the portrayal of morality and conscience in Dostoevsky's ""Crime and Punishment."""
Write about doing yoga in India.,Write a detailed account of a transformative yoga retreat in India.
What will quantum computers do to data security?,Discuss the implications of quantum computing on data security.
Write a story about messing with dreams.,Write an immersive fantasy story set in a world where dreams can be manipulated.
What's a fraction?,Explain the concept of fractions to a fourth-grade student.
"Write about war in ""A Farewell to Arms"".","Write a critical essay on the depiction of war in Ernest Hemingway's ""A Farewell to Arms."""
Why is Martin Luther King Jr. important?,Discuss the impact and legacy of Martin Luther King Jr. on the civil rights movement.
Write a story about finding a cursed artifact.,Write a suspenseful short story about an archaeological dig that unearths an ancient curse.
What does Emily Dickinson's poetry say about hope?,Analyze the theme of hope in Emily Dickinson's poetry.
Write a story about a parent doing something for their kid.,Write a moving story about a parent's sacrifice for their child's future.
What's the history of jazz music?,Discuss the influence and evolution of jazz music in the 20th century.
Write a story about a world with no emotions.,Write a dystopian story about a society where emotions are controlled by the government.
What's evolution?,Explain the theory of evolution to a seventh-grade student.
Argue for farming better.,Write a convincing argument for the adoption of sustainable farming practices.
Why is Shakespeare important?,Discuss the cultural significance and impact of the works of William Shakespeare.
Write a scary story in a cabin in the snow.,Write a horror short story set in a remote snowbound cabin.
"What does ""Lord of the Flies"" say about people?",Analyze the exploration of human nature in Lord of the Flies by William Golding.
Write about a fancy dinner you had.,Write a review of a memorable dinner at a Michelin-starred restaurant.
What does climate change do to coastal cities?,Discuss the potential impacts and solutions for climate change on coastal cities.
Write a story about a serial killer in old London.,Write a crime thriller about a serial killer haunting the foggy streets of Victorian London.
"What's ""The Road Not Taken"" say with metaphors?","Analyze the use of metaphor in Robert Frost's ""The Road Not Taken."""
Write about a rafting trip.,Write a vivid account of a thrilling whitewater rafting adventure.
What will genetic engineering do to humans?,Discuss the potential impacts of genetic engineering on human evolution.
Write a story about music in space.,Write an engaging science fiction story set in a galaxy where music is the source of power.
What's photosynthesis?,Explain the process of photosynthesis to a fifth-grade student.
Write about a historical movie that got things wrong.,"Write a nuanced critique of a controversial historical film, analyzing its representation of events."
Why is the Battle of Gettysburg important?,Discuss the strategic significance of the Battle of Gettysburg in the American Civil War.
Write a story about stealing from a museum.,Write a suspenseful short story about a heist in a high-security museum.
"What does ""Pride and Prejudice"" say about men and women?","Analyze the exploration of gender roles in Jane Austen's ""Pride and Prejudice."""
Write a story about friends who stay friends for a long time.,Write a poignant story about a childhood friendship that stood the test of time.
What's the history of pop art?,Discuss the development and influence of pop art in the 20th century.
Write a story about a world where smart people are on top.,Write a dystopian story about a society where people are ranked by their intelligence.
What's democracy?,Explain the principles of democracy to an elementary school student.
Argue for teaching about mental health in schools.,Write a convincing argument for the need for mental health education in schools.
Why are the Beat Generation writers important?,Discuss the cultural significance and literary contributions of the Beat Generation.
Write a mystery story in old Hollywood.,Write a gripping mystery story set in a glamorous 1940s Hollywood.
"What does ""Of Mice and Men"" say about the American Dream?","Analyze the depiction of the American Dream in John Steinbeck's ""Of Mice and Men."""
Write about a hot air balloon ride in Turkey.,"Write a vivid account of a breathtaking hot air balloon ride over Cappadocia, Turkey."
What's wrong with plastic in oceans and how can we fix it?,Discuss the ecological implications and potential solutions for plastic pollution in oceans.
Write a scary story in an old house.,Write a ghost story set in an ancient haunted mansion.
"What's the green light in ""The Great Gatsby"" all about?","Analyze the symbolism of the green light in F. Scott Fitzgerald's ""The Great Gatsby."""
Write about a cool thing you did in Japan.,Write a detailed account of an unforgettable cultural experience during a trip to Japan.
What's right and wrong about cloning?,Discuss the ethical implications of genetic cloning.
Write a story about a kingdom in the sky.,Write a spellbinding fantasy story about a kingdom hidden within the clouds.
What's gravity?,Explain the concept of gravitational force to a sixth-grade student.
"Write about ""1984"".","Write a critical analysis of the themes and characters in George Orwell's ""1984."""
What did finding the New World do to Europe?,Discuss the impact of the discovery of the New World on the European economy in the 16th century.
Write a story about finding treasure in the Amazon.,Write a suspenseful short story about a treasure hunt in the dense jungles of the Amazon.
"What does ""The Crucible"" say about fear?","Analyze the exploration of fear and paranoia in Arthur Miller's ""The Crucible."""
Write a story about a rescue dog getting adopted.,Write a heartwarming story about a rescue dog finding its forever home.
What's the history of punk rock?,Discuss the rise and impact of punk rock music in the 1970s.
Write a story about a world where no one gets old.,Write a dystopian story about a society in which aging has been eliminated.
What's a constitutional monarchy?,Explain the concept of a constitutional monarchy to a middle school student.
Argue for vaccines.,Write a persuasive piece advocating for the importance of vaccination in public health.
What did women writers do in the 19th century?,Discuss the role and influence of women writers in the 19th century.
Write a scary story in a cursed mountain village.,Write a horror short story set in an isolated mountain village plagued by an ancient curse.
"What does ""Macbeth"" say about wanting power?","Analyze the exploration of ambition and power in William Shakespeare's ""Macbeth."""
Write about going to a big party in Brazil.,Write a vivid account of your experience at the Rio Carnival in Brazil.
What's wrong with too many people and how can we fix it?,Discuss the potential impacts and solutions for the overpopulation crisis.
Write a detective story in the future.,Write a detective story set in a futuristic megacity.
"What does ""The Tell-Tale Heart"" say about revenge and guilt?","Analyze the exploration of revenge and guilt in Edgar Allan Poe's ""The Tell-Tale Heart."""
Write about meeting a cool artist in Morocco.,Write a detailed account of an inspiring encounter with a local artisan during a trip to Morocco.
What will AI do to healthcare?,Discuss the implications of artificial intelligence on the healthcare industry.
Write a story about living shadows.,Write a captivating fantasy story about a world where shadows have a life of their own.
What's the water cycle?,Explain the water cycle to a third-grade student.
"Write about society in ""Frankenstein"".","Write a critical essay on the portrayal of society in Mary Shelley's ""Frankenstein."""
Why is the Silk Road important?,Discuss the significance and impact of the Silk Road in ancient trade and cultural exchange.
Write a story about escaping from prison.,Write a suspenseful short story about a daring escape from a high-security prison.
"What does ""Harry Potter"" say about friends and sacrifice?","Analyze the exploration of friendship and sacrifice in J.K. Rowling's ""Harry Potter"" series."
Write a story about a soldier coming home.,Write a moving story about a soldier's return home after years of war.
What did the Harlem Renaissance do for art and culture?,Discuss the cultural and artistic significance of the Harlem Renaissance.
Write a story about a world covered in plants.,Write a post-apocalyptic story about survivors in a world overrun by plants.
What's supply and demand?,Explain the principles of supply and demand to a high school student.
Argue for free money for everyone.,Write a compelling argument for the implementation of universal basic income.
Why is Oscar Wilde important?,Discuss the literary contributions and influence of Oscar Wilde in the Victorian era.
Write a murder story on a cruise ship.,Write a murder mystery set aboard a luxury cruise liner.
"What does ""Slaughterhouse-Five"" say about war?","Analyze the depiction of war in Kurt Vonnegut's ""Slaughterhouse-Five."""
Write about going to a film festival.,Write a detailed account of your experience at a famous film festival.
What's wrong with air pollution in cities?,Discuss the environmental and health impacts of air pollution in major cities.
Write a scary story in a big old house.,Write a horror story set in a haunted Victorian mansion.
"What does ""Wuthering Heights"" say about love and loss?",Analyze the portrayal of love and loss in Wuthering Heights by Emily Bronte.
Write about visiting a monastery in Bhutan.,Write a vivid account of a spiritual journey to a secluded Buddhist monastery in Bhutan.
What will nanotech do to healthcare?,Discuss the potential impacts of nanotechnology on healthcare.
Write a story about looking for a creature in the Himalayas.,Write a riveting adventure story about a hunt for a mythical creature in the Himalayas.
What's climate change?,Explain the concept of climate change to an elementary school student.
"Write about symbols in ""The Scarlet Letter"".","Write a comprehensive critique of the use of symbols in Nathaniel Hawthorne's ""The Scarlet Letter""."
Why is the printing press important?,Discuss the role and impact of the Gutenberg printing press in the Renaissance.
Write a story about a mystery in a library.,Write a suspenseful short story about an unsolved mystery in an old library.
"What does ""The Stranger"" say about feeling alone?","Analyze the theme of isolation and despair in Albert Camus' ""The Stranger."""
Write a story about someone moving to a new country.,Write a poignant story about the life of an immigrant navigating a new culture.
What's the history of blues music?,Discuss the evolution and influence of the blues in American music history.
Write a story about a world where color means class.,Write a dystopian story about a society in which color is perceived as a social class.
What's the immune system?,Explain the workings of the human immune system to a middle school student.
Argue for using green energy.,Write a persuasive essay arguing for the need for renewable energy solutions.
What's Modernism in literature?,Discuss the cultural significance and literary style of the Modernist movement.
Write a thriller in an old mental hospital.,Write a psychological thriller set in a psychiatric institution during the 1950s.
"What does ""To the Lighthouse"" say about being human?","Analyze the exploration of the human condition in Virginia Woolf's ""To the Lighthouse."""
Write about going to the opera.,Write a review of a spectacular night at the opera.
What's wrong with water around the world and how can we fix it?,Discuss the potential impacts and solutions for the global water crisis.
Write a scary story in a Scottish castle.,Write a ghost story set in an eerie Scottish castle.
"What does Joyce's ""A Portrait of the Artist as a Young Man"" say about identity?","Analyze the exploration of identity and self-realization in James Joyce's ""A Portrait of the Artist as a Young Man."""
Write about a safari in Africa.,Write a vivid account of a memorable wildlife safari experience in Africa.
What can quantum mechanics do for telecommunications?,Discuss the potential applications and implications of quantum mechanics in telecommunications.
Write a detective story in a future city.,Write an intriguing detective story set in an underbelly of a cyberpunk city.
What causes earthquakes and what do they do?,Explain the causes and effects of earthquakes to a fourth-grade student.
"Write about class in ""Great Expectations"".","Write a critical analysis of social classes and their influence in Charles Dickens's ""Great Expectations."""
What did the Reformation do to Europe?,Discuss the implications of the Reformation on the political landscape of 16th-century Europe.
Write a story about finding a secret message in an old book.,Write a suspenseful short story about a cryptic message found in a centuries-old manuscript.
"What does ""To Kill a Mockingbird"" say about courage?","Analyze the exploration of courage and resilience in Harper Lee's ""To Kill a Mockingbird."""
Write a story about old people who still love each other.,Write a poignant story about an elderly couple's enduring love against all odds.
What's the history of hip hop?,Discuss the cultural significance and evolution of hip hop music.
Write a story about a world where you can buy and sell memories.,Write a dystopian story about a society in which memories can be bought and sold.
What's the circulatory system?,Explain the function and importance of the circulatory system to a high school student.
Argue for saving dying languages.,Write a compelling argument for the preservation of endangered languages.
Why is Virginia Woolf important to feminist literature?,Discuss the influence of Virginia Woolf on feminist literature.
Write a thriller about a town with a secret.,Write a psychological thriller about a small town with a sinister secret.
"What does ""The Brothers Karamazov"" say about faith and doubt?","Analyze the exploration of faith and doubt in Fyodor Dostoevsky's ""The Brothers Karamazov."""
Write about seeing the Northern Lights in Norway.,Write a detailed account of experiencing the Northern Lights in Norway.
What's wrong with cutting down all the trees and how can we fix it?,Discuss the environmental impacts and potential solutions for deforestation.
Write a scary story in a perfect neighborhood.,Write a horror story set in a seemingly perfect suburban neighborhood.
"What does ""The Alchemist"" say about freedom?","Analyze the exploration of freedom and confinement in Paulo Coelho's ""The Alchemist."""
Write about a trip in the Amazon.,Write a vivid account of a thrilling journey through the Amazon rainforest.
What will blockchain do to finance?,Discuss the implications of blockchain technology on the financial industry.
Write a story about living underwater after the world ends.,Write an exciting science fiction story set in a post-apocalyptic underwater city.
What's evolution?,Explain the theory of evolution to a middle school student.
"Write about colors in ""The Great Gatsby"".","Write a comprehensive critique of the use of color symbolism in F. Scott Fitzgerald's ""The Great Gatsby."""
What did the Industrial Revolution do to England?,Discuss the social and economic impacts of the Industrial Revolution in 18th century England.
Write a story about a lost city in the desert.,Write a suspenseful short story about a legendary lost city in the Sahara Desert.
"What does ""Waiting for Godot"" say about hope and despair?","Analyze the theme of despair and hope in Samuel Beckett's ""Waiting for Godot."""
Write a story about a girl and her horse.,Write a touching story about a young girl's special bond with her horse.
What's the history of jazz?,Discuss the cultural impact and evolution of the jazz age in the 1920s.
Write a story about a world where the government controls feelings.,Write a dystopian story about a society where emotions are regulated by the government.
What's photosynthesis?,Explain the concept of photosynthesis to a fifth-grade student.
Argue for going to space.,Write a persuasive argument for the need for space exploration.
Why is Edgar Allan Poe important to Gothic literature?,Discuss the influence of Edgar Allan Poe on the Gothic literary tradition.
Write a crime story in Tokyo.,Write a crime thriller set in the neon-lit streets of Tokyo.
"What does ""Brave New World"" say about right and wrong?","Analyze the exploration of morality and ethics in Aldous Huxley's ""Brave New World."""
Write about a night in the woods.,Write a vivid account of a magical moonlit night in a dense forest.
What's wrong with using so much energy and how can we fix it?,Discuss the potential impacts and solutions for the increasing global energy consumption.
Write a spooky story in a lighthouse.,Write a supernatural story set in a remote lighthouse on a stormy coast.
"What does ""Heart of Darkness"" say about colonialism?","Analyze the portrayal of colonialism and culture clash in Joseph Conrad's ""Heart of Darkness."""
Write about a hike in the morning.,Write a detailed account of a serene sunrise hike on a mountain trail.
What can VR do for education?,Discuss the potential applications and implications of virtual reality in education.
Write a story about a witch in a pumpkin.,Write a whimsical fairy tale about a quirky witch living in a pumpkin.
What's an ecosystem?,Explain the concept of ecosystems to a fourth-grade student.
"Write about ""1984"".","Write a critical essay on the depiction of dystopia in George Orwell's ""1984."""
What did the Columbian Exchange do to the world?,Discuss the impact of the Columbian Exchange on the New and Old Worlds.
Write a story about a secret group in old Italy.,Write a suspenseful short story about a secret society in Renaissance Italy.
"What does ""Tess of the D'Urbervilles"" say about fate?","Analyze the theme of fate and free will in Thomas Hardy's ""Tess of the D'Urbervilles."""
Write a story about siblings finding each other.,Write a heartfelt story about the reunion of long-lost siblings.
What's the history of pop art?,Discuss the evolution and influence of pop art in the 20th century.
Write a story about a big city where people are kind of like machines.,Write a cyberpunk story set in a mega-city where the line between human and machine is blurred.
What's gravity?,Explain the concept of gravitational force to a high school student.
Argue for farming the green way.,Write a compelling argument for the implementation of sustainable farming practices.
Why is Shakespeare important?,Discuss the contributions of William Shakespeare to English literature and drama.
Write a story about a painting going missing.,Write a mystery story about the enigmatic disappearance of a famous painting.
"What does ""Fahrenheit 451"" say about being yourself?","Analyze the exploration of individuality and conformity in Ray Bradbury's ""Fahrenheit 451."""
Write about a festival in a village.,Write a detailed account of a cultural festival experienced in a remote Himalayan village.
What will gene editing do to medicine?,Discuss the implications of gene editing and CRISPR technology on future medicine.
Write a story about animals going to the moon.,Write a charming children's story about a group of animals trying to reach the moon.
What's photosynthesis?,Explain the process of photosynthesis to a third-grade student.
"Write about power in ""Animal Farm"".","Write a critique on the representation of power and corruption in ""Animal Farm"" by George Orwell."
What did the Romans do to Europe?,Discuss the social and cultural impacts of the Roman Empire on Europe.
Write a story about finding an old city in the ice.,Write a thrilling adventure story about the discovery of an ancient civilization in the Arctic.
"What does ""Things Fall Apart"" say about family?","Analyze the exploration of family and duty in Chinua Achebe's ""Things Fall Apart."""
Write a story about a loyal dog.,Write a moving story about a dog's unwavering loyalty to its owner.
What's the history of rock and roll?,Discuss the birth and evolution of rock and roll in the music history.
Write a story about a world where no one sleeps.,Write a dystopian story about a society where people no longer sleep.
What's human development?,Explain the stages of human development to a middle school student.
Argue for saving different kinds of life.,Write a persuasive essay arguing for the importance of biodiversity conservation.
Why is Jane Austen important to romance books?,Discuss the influence of Jane Austen on the romance novel genre.
Write a spy story in the Cold War.,Write a spy thriller set in the midst of the Cold War.
"What does ""A Streetcar Named Desire"" say about illusion and reality?","Analyze the exploration of illusion and reality in Tennessee Williams' ""A Streetcar Named Desire."""
Write about a trip to another planet.,Write a vivid account of a breathtaking space journey to a distant exoplanet.
What will AI do to jobs?,Discuss the implications of artificial intelligence on the future of work.
Write a story about a world where music is magic.,Write an engaging fantasy story set in a world where music holds magical powers.
What's the water cycle?,Explain the water cycle to a primary school student.
"Write about irony in ""Gulliver's Travels"".","Write a comprehensive critique of the use of irony in Jonathan Swift's ""Gulliver's Travels."""
What did the Crusades do to Europe?,Discuss the political and religious impact of the Crusades on Medieval Europe.
Write a story about a heist at the Louvre.,Write a suspenseful short story about a daring heist in the Louvre Museum.
"What does ""The Catcher in the Rye"" say about who we are?","Analyze the theme of identity and self-acceptance in J.D. Salinger's ""The Catcher in the Rye."""
Write a story about a soldier who doesn't give up.,Write a compelling story about a soldier's resilience in the face of adversity.
What's the history of reggae music?,Discuss the cultural significance and evolution of reggae music.
Write a story about a world where no one can read books.,Write a dystopian story about a society where books are banned.
What's multiplication?,Explain the concept of multiplication to a second-grade student.
Argue for using electric cars.,Write a persuasive argument for the adoption of electric vehicles.
Why is Hemingway important?,Discuss the impact of Ernest Hemingway on the literary world.
Write a detective story in a place where time stopped.,Write a mystery thriller about a detective trying to solve a case in a town where time stands still.
"What does Blake's ""Songs"" say about being innocent and experienced?","Analyze the exploration of innocence and experience in William Blake's ""Songs of Innocence and Experience."""
Write about a walk on the beach at night.,Write a detailed account of a serene midnight walk on a moonlit beach.
What's wrong with using so much plastic and how can we fix it?,Discuss the environmental impacts and potential solutions for the overuse of plastic.
Write a ghost story in an old house.,Write a paranormal story set in a haunted Victorian mansion.
"What does ""Macbeth"" say about wanting power?","Analyze the portrayal of power and ambition in William Shakespeare's ""Macbeth."""
Write about skydiving.,Write a vivid account of an exhilarating skydiving experience.
What can AR do for shopping?,Discuss the potential applications and implications of augmented reality in retail.
Write a story about a fairy in a forest.,Write an enchanting story about a fairy's journey through a magical forest.
What's democracy?,Explain the concept of democracy to a fifth-grade student.
"What does ""Othello"" say about love and jealousy?","Analyze the exploration of love and jealousy in William Shakespeare's ""Othello."""
Write about a motorcycle trip.,Write a vivid account of a thrilling motorcycle road trip across the United States.
What can nanotech do for healthcare?,Discuss the implications of nanotechnology in the field of healthcare.
Write a story about going back in time to Rome.,Write an exciting time travel story set in the historical city of Rome.
What are fractions?,Explain the concept of fractions to a fourth-grade student.
"Write about suspense in ""Psycho"".","Write a comprehensive critique of the use of suspense in Alfred Hitchcock's film ""Psycho."""
What did the French Revolution do?,Discuss the economic and social impact of the French Revolution.
Write a story about hunting for treasure in pyramids.,Write a suspenseful short story about a treasure hunt in the Egyptian pyramids.
"What does ""Dr. Jekyll and Mr. Hyde"" say about good and evil?","Analyze the theme of good and evil in Robert Louis Stevenson's ""Dr. Jekyll and Mr. Hyde."""
Write a story about a kid and their grandparent.,Write a heartfelt story about a child's bond with their grandparent.
What's the history of silent movies?,Discuss the cultural impact and evolution of silent cinema in the early 20th century.
Write a story about a world where you can't dream.,Write a dystopian story about a society where dreaming is forbidden.
What are atoms and molecules?,Explain the concept of atoms and molecules to a middle school student.
Argue for teaching arts in school.,Write a persuasive argument for the importance of arts education.
